consult_id,customer_id,customer_id_raw,unit_id,unit_id_raw,consultant,channel,consult_date,duration_min,duration_flag,outcome,notes,orphan
CS00001,C00381,C00381,U0075,U0075,장은서,전화,2024-07-18,45,,계약희망,층향 재문의,
CS00002,C00323,C00323,U0128,U0128,장은서,SNS,2025-09-23,15,,계약희망,현장 방문 예약,
CS00003,C00030,C00030,U0123,U0123,서주원,방문,2026-05-11,20,,보류,계약금 조율 필요,
CS00004,C00415,C00415,U0037,U0037,임동현,전화,2025-09-24,240,이상치(장시간),거절,현장 방문 예약,
CS00005,C00178,C00178,U0214,U0214,김서준,전화,2025-12-19,240,이상치(장시간),보류,층향 재문의,
CS00006,C00059,C00059,U0081,U0081,조도윤,방문,2024-06-15,,비정상(0이하),재상담예정,추가 자료 요청,
CS00007,C00068,C00068,,U9966,장은서,방문,2026-02-06,30,,재상담예정,타 단지와 비교 중,unit
CS00008,C00583,C00583,U0125,U0125,한지민,방문,2026-07-13,10,,거절,추가 자료 요청,
CS00009,C00564,C00564,U0158,U0158,한지민,SNS,2026-11-06,20,,거절,층향 재문의,
CS00010,C00014,C00014,U0119,U0119,홍태윤,방문,2025-12-24,20,,보류,타 단지와 비교 중,
CS00011,C00114,C00114,U0002,U0002,조도윤,방문,2024-04-23,15,,계약희망,전세 대비 비교 요청,
CS00012,C00401,C00401,U0018,U0018,임동현,전화,2026-04-12,10,,재상담예정,전세 대비 비교 요청,
CS00013,C00464,C00464,U0197,U0197,서주원,온라인,2025-09-18,30,,거절,타 단지와 비교 중,
CS00014,C00106,C00106,U0033,U0033,안시윤,전화,2026-11-25,90,,계약희망,,
CS00015,C00550,C00550,U0001,U0001,홍태윤,온라인,2024-02-26,240,이상치(장시간),거절,대출 상담 필요,
CS00016,C00165,C00165,U0207,U0207,조도윤,방문,2026-08-11,45,,재상담예정,현장 방문 예약,
CS00017,C00402,C00402,U0215,U0215,홍태윤,전화,2026-02-20,30,,재상담예정,층향 재문의,
CS00018,C00387,C00387,U0202,U0202,홍태윤,전화,2024-09-14,60,,재상담예정,,
CS00019,C00055,C00055,U0055,U0055,전동현,SNS,2024-07-12,20,,계약희망,가족과 상의 후 재연락,
CS00020,C00237,C00237,U0085,U0085,장채원,전화,2025-05-17,10,,재상담예정,현장 방문 예약,
CS00021,C00143,C00143,U0181,U0181,장은서,방문,2026-01-19,10,,재상담예정,추가 자료 요청,
CS00022,C00193,C00193,U0010,U0010,홍태윤,방문,2026-12-05,20,,계약희망,가격 재문의,
CS00023,C00558,C00558,U0016,U0016,장채원,전화,2026-05-28,30,,거절,추가 자료 요청,
CS00024,C00154,C00154,U0151,U0151,김서준,전화,2025-09-01,90,,보류,추가 자료 요청,
CS00025,C00438,C00438,U0114,U0114,김서준,온라인,2026-04-23,,비정상(0이하),계약희망,잔금 일정 문의,
CS00026,C00397,C00397,U0031,U0031,장은서,방문,2026-12-03,240,이상치(장시간),보류,추가 자료 요청,
CS00027,C00427,C00427,U0152,U0152,임동현,전화,2024-03-26,10,,보류,잔금 일정 문의,
CS00028,C00156,C00156,U0189,U0189,홍태윤,전화,2024-07-23,45,,재상담예정,가족과 상의 후 재연락,
CS00029,C00147,C00147,U0052,U0052,한지민,방문,2025-05-23,,비정상(0이하),계약희망,특약사항 확인 요청,
CS00030,C00236,C00236,U0134,U0134,전동현,전화,2026-11-27,20,,보류,추가 자료 요청,
CS00031,C00221,C00221,U0208,U0208,조도윤,전화,2025-04-11,,비정상(0이하),거절,가족과 상의 후 재연락,
CS00032,C00506,C00506,U0030,U0030,장은서,전화,2026-03-16,20,,재상담예정,,
CS00033,C00538,C00538,U0083,U0083,홍태윤,전화,2026-06-28,10,,거절,,
CS00034,C00039,C00039,U0092,U0092,장은서,방문,2025-09-06,10,,재상담예정,추가 자료 요청,
CS00035,C00134,C00134,U0063,U0063,김서준,전화,2025-10-11,,비정상(0이하),계약희망,대출 상담 필요,
CS00036,C00066,C00066,U0069,U0069,조도윤,온라인,2025-10-01,20,,계약희망,추가 자료 요청,
CS00037,C00437,C00437,U0146,U0146,서주원,전화,2024-11-11,10,,보류,특약사항 확인 요청,
CS00038,C00056,C00056,,U9918,서주원,온라인,2024-03-10,45,,재상담예정,대출 상담 필요,unit
CS00039,C00323,C00323,U0143,U0143,안시윤,방문,2025-01-16,20,,재상담예정,추가 자료 요청,
CS00040,C00177,C00177,U0172,U0172,김서준,온라인,2025-12-08,15,,보류,현장 방문 예약,
CS00041,C00553,C00553,U0210,U0210,서주원,전화,2025-10-13,,비정상(0이하),계약희망,가격 재문의,
CS00042,C00489,C00489,U0046,U0046,전동현,전화,2025-06-11,,비정상(0이하),보류,타 단지와 비교 중,
CS00043,C00034,C00034,U0055,U0055,김서준,온라인,2024-06-13,20,,재상담예정,,
CS00044,C00468,C00468,U0108,U0108,장은서,방문,2025-11-17,15,,계약희망,,
CS00045,C00324,C00324,U0004,U0004,장은서,전화,2024-10-17,90,,재상담예정,현장 방문 예약,
CS00046,C00492,C00492,U0067,U0067,조도윤,전화,2024-10-26,,비정상(0이하),거절,층향 재문의,
CS00047,C00275,C00275,U0046,U0046,홍태윤,전화,2026-07-28,15,,계약희망,잔금 일정 문의,
CS00048,C00214,C00214,U0158,U0158,한지민,전화,2025-07-02,,비정상(0이하),재상담예정,특약사항 확인 요청,
CS00049,C00333,C00333,U0176,U0176,전동현,전화,2025-06-22,45,,재상담예정,가격 재문의,
CS00050,C00079,C00079,U0163,U0163,조도윤,전화,2024-06-24,10,,계약희망,대출 상담 필요,
CS00051,C00545,C00545,U0163,U0163,임동현,방문,2025-06-15,240,이상치(장시간),거절,가격 재문의,
CS00052,C00121,C00121,U0186,U0186,안시윤,전화,2024-07-17,15,,계약희망,타 단지와 비교 중,
CS00053,C00164,C00164,U0191,U0191,장채원,전화,2025-02-26,30,,계약희망,층향 재문의,
CS00054,C00215,C00215,U0063,U0063,임동현,전화,2024-06-19,,비정상(0이하),보류,잔금 일정 문의,
CS00055,C00103,C00103,U0155,U0155,전동현,전화,2024-11-10,45,,보류,잔금 일정 문의,
CS00056,C00438,C00438,U0203,U0203,전동현,전화,2025-02-08,30,,거절,추가 자료 요청,
CS00057,C00064,C00064,U0151,U0151,장은서,전화,2026-06-18,90,,거절,특약사항 확인 요청,
CS00058,C00481,C00481,U0219,U0219,김서준,전화,2024-09-23,20,,계약희망,대출 상담 필요,
CS00059,C00412,C00412,U0089,U0089,한지민,전화,2026-09-12,45,,재상담예정,가격 재문의,
CS00060,C00543,C00543,U0043,U0043,한지민,방문,2026-07-14,10,,재상담예정,층향 재문의,
CS00061,C00406,C00406,U0218,U0218,장채원,전화,2025-04-07,15,,재상담예정,층향 재문의,
CS00062,C00435,C00435,U0056,U0056,서주원,전화,2026-05-11,60,,계약희망,현장 방문 예약,
CS00063,C00513,C00513,U0127,U0127,김서준,전화,2025-08-06,20,,재상담예정,,
CS00064,C00445,C00445,U0026,U0026,임동현,전화,2026-07-14,90,,보류,전세 대비 비교 요청,
CS00065,C00040,C00040,U0021,U0021,장채원,SNS,2026-07-01,60,,재상담예정,,
CS00066,C00565,C00565,U0006,U0006,임동현,온라인,2026-07-18,,비정상(0이하),보류,타 단지와 비교 중,
CS00067,C00203,C00203,U0052,U0052,장채원,방문,2025-02-01,30,,계약희망,계약금 조율 필요,
CS00068,C00457,C00457,U0119,U0119,홍태윤,SNS,2024-10-27,60,,계약희망,가격 재문의,
CS00069,C00198,C00198,U0105,U0105,한지민,방문,2025-07-03,90,,계약희망,,
CS00070,C00310,C00310,U0113,U0113,전동현,전화,2026-01-10,90,,계약희망,,
CS00071,C00154,C00154,U0032,U0032,홍태윤,전화,2025-10-25,15,,거절,타 단지와 비교 중,
CS00072,C00443,C00443,U0054,U0054,장은서,방문,2025-11-23,15,,거절,특약사항 확인 요청,
CS00073,C00396,C00396,U0085,U0085,장채원,전화,2026-05-19,45,,보류,층향 재문의,
CS00074,,C99901,U0095,U0095,장채원,전화,2026-05-10,20,,재상담예정,,customer
CS00075,C00111,C00111,U0207,U0207,한지민,SNS,2024-10-10,90,,계약희망,잔금 일정 문의,
CS00076,C00018,C00018,U0067,U0067,김서준,방문,2026-12-28,,비정상(0이하),보류,특약사항 확인 요청,
CS00077,C00543,C00543,U0129,U0129,홍태윤,방문,2025-07-28,,비정상(0이하),계약희망,,
CS00078,C00046,C00046,U0080,U0080,임동현,전화,2024-05-20,15,,계약희망,,
CS00079,C00132,C00132,U0217,U0217,안시윤,전화,2026-04-24,30,,계약희망,특약사항 확인 요청,
CS00080,C00107,C00107,U0142,U0142,전동현,방문,2026-09-28,15,,보류,가족과 상의 후 재연락,
CS00081,C00599,C00599,U0047,U0047,홍태윤,전화,2026-04-08,,비정상(0이하),거절,층향 재문의,
CS00082,C00151,C00151,U0049,U0049,전동현,SNS,2024-03-17,45,,계약희망,계약금 조율 필요,
CS00083,C00138,C00138,U0201,U0201,서주원,방문,2026-02-07,,비정상(0이하),계약희망,층향 재문의,
CS00084,C00430,C00430,U0125,U0125,장은서,SNS,2024-10-14,15,,계약희망,계약금 조율 필요,
CS00085,C00157,C00157,U0105,U0105,조도윤,방문,2025-11-06,60,,거절,잔금 일정 문의,
CS00086,C00515,C00515,U0071,U0071,서주원,온라인,2026-05-21,,비정상(0이하),거절,층향 재문의,
CS00087,C00114,C00114,U0046,U0046,장은서,전화,2025-11-10,15,,계약희망,타 단지와 비교 중,
CS00088,C00592,C00592,U0196,U0196,조도윤,방문,2025-09-10,60,,계약희망,가족과 상의 후 재연락,
CS00089,C00364,C00364,U0083,U0083,장채원,온라인,2025-03-28,20,,계약희망,계약금 조율 필요,
CS00090,C00071,C00071,U0200,U0200,안시윤,온라인,2024-05-16,45,,거절,추가 자료 요청,
CS00091,C00311,C00311,U0109,U0109,전동현,전화,2025-01-25,90,,보류,계약금 조율 필요,
CS00092,,C99721,U0052,U0052,전동현,전화,2026-05-10,60,,재상담예정,특약사항 확인 요청,customer
CS00093,C00512,C00512,U0052,U0052,서주원,방문,2026-09-15,45,,재상담예정,추가 자료 요청,
CS00094,C00415,C00415,U0012,U0012,임동현,전화,2025-12-23,,비정상(0이하),계약희망,현장 방문 예약,
CS00095,C00483,C00483,U0164,U0164,서주원,방문,2026-06-15,45,,계약희망,특약사항 확인 요청,
CS00096,C00082,C00082,U0039,U0039,장은서,SNS,2026-04-18,15,,계약희망,,
CS00097,C00229,C00229,U0210,U0210,안시윤,전화,2024-03-25,15,,재상담예정,추가 자료 요청,
CS00098,C00314,C00314,U0120,U0120,한지민,전화,2025-06-07,45,,재상담예정,현장 방문 예약,
CS00099,C00166,C00166,U0205,U0205,전동현,전화,2026-01-17,60,,계약희망,특약사항 확인 요청,
CS00100,C00196,C00196,U0148,U0148,서주원,방문,2024-12-03,240,이상치(장시간),계약희망,대출 상담 필요,
CS00101,C00549,C00549,U0157,U0157,한지민,방문,2024-02-25,90,,보류,,
CS00102,C00250,C00250,U0166,U0166,전동현,전화,2025-09-25,90,,계약희망,전세 대비 비교 요청,
CS00103,,C99230,U0083,U0083,조도윤,방문,2025-04-19,60,,보류,전세 대비 비교 요청,customer
CS00104,C00584,C00584,U0184,U0184,임동현,전화,2024-04-25,20,,계약희망,전세 대비 비교 요청,
CS00105,C00496,C00496,U0139,U0139,임동현,SNS,2024-06-28,60,,재상담예정,잔금 일정 문의,
CS00106,C00460,C00460,U0056,U0056,김서준,전화,2024-03-15,15,,보류,현장 방문 예약,
CS00107,C00479,C00479,U0103,U0103,서주원,온라인,2025-10-27,15,,계약희망,추가 자료 요청,
CS00108,C00182,C00182,U0194,U0194,안시윤,전화,2025-12-20,60,,계약희망,특약사항 확인 요청,
CS00109,C00465,C00465,U0029,U0029,김서준,방문,2024-01-13,90,,거절,대출 상담 필요,
CS00110,C00221,C00221,U0167,U0167,장은서,전화,2026-02-21,90,,거절,추가 자료 요청,
CS00111,C00530,C00530,U0217,U0217,홍태윤,온라인,2026-01-05,,비정상(0이하),계약희망,가격 재문의,
CS00112,C00146,C00146,U0190,U0190,김서준,온라인,2025-10-14,20,,보류,추가 자료 요청,
CS00113,C00489,C00489,U0029,U0029,김서준,전화,2024-08-07,45,,거절,전세 대비 비교 요청,
CS00114,,C99026,,U9960,김서준,전화,2024-12-28,20,,계약희망,추가 자료 요청,"customer,unit"
CS00115,C00539,C00539,,U9928,장은서,방문,2024-07-03,15,,계약희망,계약금 조율 필요,unit
CS00116,C00077,C00077,U0208,U0208,홍태윤,전화,2025-08-16,45,,거절,전세 대비 비교 요청,
CS00117,C00234,C00234,U0192,U0192,조도윤,온라인,2026-04-05,30,,보류,가족과 상의 후 재연락,
CS00118,C00273,C00273,U0184,U0184,한지민,온라인,2026-02-08,30,,거절,특약사항 확인 요청,
CS00119,C00338,C00338,U0134,U0134,안시윤,온라인,2025-03-11,90,,계약희망,추가 자료 요청,
CS00120,C00551,C00551,U0204,U0204,임동현,온라인,2024-01-05,10,,계약희망,전세 대비 비교 요청,
CS00121,C00468,C00468,U0089,U0089,장은서,전화,2026-07-15,30,,계약희망,추가 자료 요청,
CS00122,C00179,C00179,U0132,U0132,장은서,방문,2025-03-09,60,,거절,층향 재문의,
CS00123,C00106,C00106,U0094,U0094,임동현,방문,2024-09-05,15,,계약희망,층향 재문의,
CS00124,C00396,C00396,U0089,U0089,홍태윤,전화,2025-09-03,,비정상(0이하),계약희망,가족과 상의 후 재연락,
CS00125,C00301,C00301,U0057,U0057,조도윤,온라인,2024-12-24,60,,계약희망,층향 재문의,
CS00126,C00359,C00359,U0093,U0093,홍태윤,방문,2026-09-06,60,,계약희망,가족과 상의 후 재연락,
CS00127,C00242,C00242,U0157,U0157,한지민,전화,2024-05-02,90,,재상담예정,계약금 조율 필요,
CS00128,C00401,C00401,U0185,U0185,한지민,SNS,2024-02-09,,비정상(0이하),계약희망,전세 대비 비교 요청,
CS00129,C00282,C00282,U0106,U0106,김서준,온라인,2025-03-25,30,,재상담예정,전세 대비 비교 요청,
CS00130,C00592,C00592,U0090,U0090,장채원,온라인,2025-03-13,15,,거절,특약사항 확인 요청,
CS00131,C00028,C00028,U0134,U0134,임동현,방문,2024-11-20,,비정상(0이하),계약희망,층향 재문의,
CS00132,C00390,C00390,U0019,U0019,김서준,전화,2026-06-09,10,,재상담예정,전세 대비 비교 요청,
CS00133,C00596,C00596,U0178,U0178,서주원,방문,2025-05-08,,비정상(0이하),계약희망,전세 대비 비교 요청,
CS00134,C00372,C00372,U0218,U0218,서주원,전화,2026-07-14,10,,거절,잔금 일정 문의,
CS00135,C00090,C00090,U0171,U0171,장은서,SNS,2025-02-01,15,,보류,전세 대비 비교 요청,
CS00136,C00221,C00221,U0027,U0027,장채원,전화,2026-08-18,240,이상치(장시간),재상담예정,가격 재문의,
CS00137,C00024,C00024,U0215,U0215,임동현,전화,2024-10-04,15,,계약희망,현장 방문 예약,
CS00138,C00048,C00048,U0011,U0011,전동현,전화,2025-08-19,,비정상(0이하),재상담예정,,
CS00139,C00377,C00377,,U9942,장은서,전화,2024-05-14,10,,거절,특약사항 확인 요청,unit
CS00140,C00294,C00294,U0201,U0201,홍태윤,SNS,2025-12-21,45,,계약희망,,
CS00141,C00083,C00083,U0193,U0193,안시윤,전화,2024-08-28,15,,보류,특약사항 확인 요청,
CS00142,C00464,C00464,U0185,U0185,홍태윤,전화,2025-06-20,,비정상(0이하),재상담예정,특약사항 확인 요청,
CS00143,C00516,C00516,U0093,U0093,임동현,전화,2024-06-01,15,,계약희망,잔금 일정 문의,
CS00144,C00470,C00470,U0102,U0102,장채원,전화,2024-04-03,15,,보류,추가 자료 요청,
CS00145,C00033,C00033,U0102,U0102,장채원,방문,2025-02-28,45,,보류,계약금 조율 필요,
CS00146,C00264,C00264,U0040,U0040,임동현,SNS,2025-01-16,30,,재상담예정,,
CS00147,C00081,C00081,U0076,U0076,김서준,SNS,2024-10-16,,비정상(0이하),계약희망,전세 대비 비교 요청,
CS00148,C00322,C00322,U0100,U0100,김서준,전화,2026-06-26,45,,보류,특약사항 확인 요청,
CS00149,C00357,C00357,U0178,U0178,장채원,온라인,2026-04-26,,비정상(0이하),재상담예정,층향 재문의,
CS00150,C00532,C00532,U0212,U0212,임동현,방문,2026-06-23,,비정상(0이하),계약희망,계약금 조율 필요,
CS00151,C00559,C00559,U0152,U0152,조도윤,전화,2024-01-18,,비정상(0이하),재상담예정,추가 자료 요청,
CS00152,C00018,C00018,U0091,U0091,전동현,방문,2026-05-19,45,,보류,현장 방문 예약,
