unit_id,building,floor,unit_no,type,area_m2,price_listed,price_ref,price_flag,status,direction,view
U0001,101,1,01,59B,60,150605,25188,타입별 실계약가 중앙값으로 캘리브레이션(×0.167),미계약,남동향,도로뷰
U0002,101,1,02,59A,59,182693,30376,타입별 실계약가 중앙값으로 캘리브레이션(×0.166),계약완료,남향,평범
U0003,101,1,03,102A,102,311924,26227,타입별 실계약가 중앙값으로 캘리브레이션(×0.084),계약완료,북향,공원뷰
U0004,101,1,04,84B,85,235694,22280,타입별 실계약가 중앙값으로 캘리브레이션(×0.095),미계약,남동향,평범
U0005,101,2,01,59A,59,136965,22773,타입별 실계약가 중앙값으로 캘리브레이션(×0.166),계약완료,남향,공원뷰
U0006,101,2,02,59A,59,134818,22416,타입별 실계약가 중앙값으로 캘리브레이션(×0.166),미계약,동향,한강뷰
U0007,101,2,03,84B,85,204138,19297,타입별 실계약가 중앙값으로 캘리브레이션(×0.095),계약완료,남동향,평범
U0008,101,2,04,84A,84,251250,25468,타입별 실계약가 중앙값으로 캘리브레이션(×0.101),계약완료,남서향,도로뷰
U0009,101,3,01,84A,84,219364,22236,타입별 실계약가 중앙값으로 캘리브레이션(×0.101),미계약,서향,도로뷰
U0010,101,3,02,102A,102,282990,23794,타입별 실계약가 중앙값으로 캘리브레이션(×0.084),계약완료,남동향,단지내뷰
U0011,101,3,03,84A,84,238617,24187,타입별 실계약가 중앙값으로 캘리브레이션(×0.101),계약완료,서향,한강뷰
U0012,101,3,04,59B,60,154840,25896,타입별 실계약가 중앙값으로 캘리브레이션(×0.167),보류,동향,한강뷰
U0013,101,4,01,102A,102,323694,27216,타입별 실계약가 중앙값으로 캘리브레이션(×0.084),계약완료,동향,도로뷰
U0014,101,4,02,59A,59,151673,25218,타입별 실계약가 중앙값으로 캘리브레이션(×0.166),미계약,남향,단지내뷰
U0015,101,4,03,74A,74,235468,29079,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),계약완료,동향,평범
U0016,101,4,04,59A,59,133799,22246,타입별 실계약가 중앙값으로 캘리브레이션(×0.166),미계약,서향,공원뷰
U0017,101,5,01,84B,85,273735,25876,타입별 실계약가 중앙값으로 캘리브레이션(×0.095),미계약,남향,한강뷰
U0018,101,5,02,74A,74,213991,26426,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),미계약,서향,단지내뷰
U0019,101,5,03,74A,74,236042,29149,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),계약완료,남향,도로뷰
U0020,101,5,04,74A,74,213963,26423,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),미계약,남동향,평범
U0021,101,6,01,59A,59,163676,27214,타입별 실계약가 중앙값으로 캘리브레이션(×0.166),미계약,남서향,한강뷰
U0022,101,6,02,59B,60,181802,30405,타입별 실계약가 중앙값으로 캘리브레이션(×0.167),미계약,동향,도로뷰
U0023,101,6,03,84A,84,189592,19218,타입별 실계약가 중앙값으로 캘리브레이션(×0.101),미계약,남서향,평범
U0024,101,6,04,74A,74,192893,23821,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),계약완료,북향,한강뷰
U0025,101,7,01,74A,74,245650,30336,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),예약,남동향,공원뷰
U0026,101,7,02,74A,74,215492,26612,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),계약완료,북향,도로뷰
U0027,101,7,03,74A,74,190328,23504,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),미계약,남서향,도로뷰
U0028,101,7,04,114A,114,279689,21923,타입별 실계약가 중앙값으로 캘리브레이션(×0.078),미계약,남동향,도로뷰
U0029,101,8,01,74A,74,177984,21980,타입별 실계약가 중앙값으로 캘리브레이션(×0.123),미계약,남서향,공원뷰
U0030,101,8,02,84A,84,211230,21411,타입별 실계약가 중앙값으로 캘리브레이션(×0.101),예약,남동향,단지내뷰
