month,channel,spend_10k_krw,impressions,clicks,leads
2024-01,블로그,300,60600,1355,180
2024-01,SNS광고,1125,186750,6103,844
2024-01,포털검색광고,1999,331834,6488,799
2024-01,옥외광고,1210,215380,4094,726
2024-01,지인추천이벤트,1782,361746,7639,601
2024-01,전시관행사,714,114954,5166,271
2024-02,블로그,347,30189,1262,112
2024-02,SNS광고,1905,220980,8235,934
2024-02,포털검색광고,479,49337,1901,201
2024-02,옥외광고,1287,142857,2959,287
2024-02,지인추천이벤트,3701,310884,5908,491
2024-02,전시관행사,2893,503382,22496,2179
2024-03,블로그,3235,498190,12723,1864
2024-03,SNS광고,2933,354893,4381,504
2024-03,포털검색광고,3424,291040,4545,327
2024-03,옥외광고,688,121088,5945,378
2024-03,지인추천이벤트,2439,536580,25354,1290
2024-03,전시관행사,3347,281148,12292,793
2024-04,블로그,2293,387517,4376,770
2024-04,SNS광고,791,95711,2449,410
2024-04,포털검색광고,2238,380460,16016,1384
2024-04,옥외광고,685,123300,4426,602
2024-04,지인추천이벤트,3059,645449,22649,1967
2024-04,전시관행사,1103,209570,4994,598
2024-05,블로그,3345,692415,28654,2046
2024-05,SNS광고,882,70560,1431,251
2024-05,포털검색광고,2576,525504,6943,374
2024-05,옥외광고,1231,219118,9053,852
2024-05,지인추천이벤트,1464,298656,7485,661
2024-05,전시관행사,1334,205436,8506,1224
2024-06,블로그,3211,642200,9376,1574
2024-06,SNS광고,2093,324415,7618,444
2024-06,포털검색광고,1514,261922,8700,836
2024-06,옥외광고,2593,241149,2891,380
2024-06,지인추천이벤트,3977,334068,16436,2357
2024-06,전시관행사,1733,273814,7891,1393
2024-07,블로그,2039,295655,4555,493
2024-07,SNS광고,869,126005,2283,300
2024-07,포털검색광고,455,39130,1276,219
2024-07,옥외광고,1369,221778,2720,320
2024-07,지인추천이벤트,1381,262390,9603,1031
2024-07,전시관행사,917,119210,3186,341
2024-08,블로그,760,155800,1927,203
2024-08,SNS광고,985,122140,2994,280
2024-08,포털검색광고,1128,112800,1977,289
2024-08,옥외광고,2143,400741,6996,519
2024-08,지인추천이벤트,415,69720,1531,90
2024-08,전시관행사,1815,268620,9981,623
2024-09,블로그,1313,254722,8803,841
2024-09,SNS광고,2550,377400,12144,1481
2024-09,포털검색광고,2125,272000,9395,727
2024-09,옥외광고,3772,690276,23978,4016
2024-09,지인추천이벤트,407,89133,1474,185
2024-09,전시관행사,2969,504730,13810,886
2024-10,블로그,3626,344470,14212,2451
2024-10,SNS광고,1466,260948,5508,568
2024-10,포털검색광고,2264,398464,8124,992
2024-10,옥외광고,1756,310812,5216,870
2024-10,지인추천이벤트,2573,375658,17606,1012
2024-10,전시관행사,3087,305613,10987,1975
2024-11,블로그,1552,221936,9270,1461
2024-11,SNS광고,2649,315231,7643,1259
2024-11,포털검색광고,3907,480561,14698,963
2024-11,옥외광고,890,189570,4506,421
2024-11,지인추천이벤트,3710,396970,7953,944
2024-11,전시관행사,3815,453985,10393,970
2024-12,블로그,345,49335,859,146
2024-12,SNS광고,3859,841262,34028,3193
