contract_id,customer_id,unit_id,contract_date,price_10k_krw,down_payment_10k_krw,loan_amount_10k_krw,status,sales_rep
K00001,C00263,U0121,2026-11-06,31197,5103,23511,Completed,신지호
K00002,C00228,U0117,2026-10-02,33908,3509,27976,완료,황주원
K00003,C00129,U0057,12-14-2026,15430,2842,,Completed,한채원
K00004,C00163,U0149,2024-10-19,24674,2987,21631,완료,신지호
K00005,C00145,U0165,2026-09-04,10583,1301,8078,완료,황다은
K00006,C00461,U0209,2024-06-02,18270,2421,14272,complete,이소율
K00007,C00030,U0132,2024-03-28,23818,2639,18749,Completed,황다은
K00008,C00005,U0186,2026-06-16,30934,4901,24886,완료,이소율
K00009,C00329,U0064,20250421,34852,4659,28456,진행중,신지호
K00010,C00273,U0112,2025-05-15,23677,3156,19446,complete,황다은
K00011,C00099,U0099,2025-05-12,26391,4591,20104,해지,권태윤
K00012,C00164,U0106,2024-11-22,36154,6809,26354,완료,황주원
K00013,C00071,U0007,2026-08-27,10685,1712,8186,Completed,권태윤
K00014,C00148,U0146,2025-03-27,23660,2371,20137,완료,황주원
K00015,C00172,U0128,2025-05-01,24264,4109,19372,complete,권태윤
K00016,C00403,U0169,20250218,36779,7152,29266,완료,권태윤
K00017,C00145,U0207,2024-01-19,18951,3657,12720,진행중,이소율
K00018,C00254,U0206,2024-06-13,26492,4341,21030,진행중,송준서
K00019,C00308,U0129,2024-08-03,16165,1948,,진행중,이소율
K00020,C00572,U0084,20241226,23327,3428,18901,진행중,이소율
K00021,C00079,U0086,2026-07-15,38904,6280,30541,해지,신지호
K00022,C00576,U0003,2025-11-23,19641,3110,14176,진행중,한채원
K00023,C00452,U0194,2025-08-12,26217,3033,20204,Completed,신지호
K00024,C00422,U0015,2025-12-27,38726,3890,33895,Completed,이소율
K00025,C00103,U0176,2024-03-02,23003,2584,19574,완료 ,이소율
K00026,C00086,U0216,2024/06/08,39987,4827,34253,complete,한채원
K00027,C00292,U0075,2024/02/13,27712,5037,20941,완료,송시우
K00028,C00455,U0072,20261224,31117,5829,24994,진행중,이소율
K00029,C00431,U0094,20240616,36513,3967,32201,Completed,송준서
K00030,C00455,U0170,2025-03-08,21574,2285,18711,진행중,황다은
K00031,C00178,U0012,2025-09-21,14738,2849,11460,진행중,신지호
K00032,C00472,U0114,20240602,14108,1502,12471,완료 ,송준서
K00033,C00105,U0181,2024-12-20,12106,1255,8895,진행중,신지호
K00034,C00128,U0036,2025-07-12,27478,3336,22540,진행중,한채원
K00035,C00440,U0154,20240808,16421,1730,12834,진행중,송준서
K00036,C00368,U0103,2026-01-20,15080,1547,,Completed,황다은
K00037,C00284,U0041,2024-08-01,31363,6071,23189,완료 ,황다은
K00038,C00133,U0157,2024-03-15,13840,2615,10600,진행중,황다은
K00039,C00500,U0208,2026-08-22,35259,4682,,진행중,황주원
K00040,C00552,U0196,2025-05-08,26576,4084,21014,완료 ,송준서
K00041,C00125,U0021,20251127,15691,2724,11212,진행중,이소율
K00042,C00057,U0005,20251121,10559,1351,6980,complete,송준서
K00043,C00434,U0189,20260824,11027,1783,,진행중,한채원
K00044,C00337,U0183,2024/04/25,29253,4992,,완료,권태윤
K00045,C00326,U0060,2026-07-09,11597,1256,9970,진행중,송시우
K00046,C00553,U0047,01-28-2024,15451,3068,10814,진행중,한채원
K00047,C00395,U0038,2026-05-05,23061,4238,18344,해지,송준서
K00048,C00461,U0104,2024-04-04,0,0,,해지,권태윤
K00049,C00031,U0092,2026/05/02,13608,2182,9944,완료,송준서
K00050,C00491,U0174,2025-08-26,30895,4195,25775,complete,한채원
K00051,C00203,U0115,2025-04-12,13585,1684,11287,Completed,이소율
K00052,C00287,U0133,2024-07-14,23874,2439,20749,complete,이소율
K00053,C00154,U0184,2025-05-03,29004,3027,23936,진행중,황다은
K00054,C00216,U0089,2026/10/20,26161,4431,20306,complete,이소율
K00055,C00536,U0198,2026-12-28,29489,5329,,진행중,한채원
K00056,C00540,U0210,20240628,13067,1393,10597,해지,권태윤
K00057,C00590,U0061,2025-08-07,32046,6201,23921,해지,한채원
K00058,C00549,U0179,20241114,20524,2689,15154,완료 ,송준서
K00059,C00508,U0200,2025-01-04,36052,3932,31755,Completed,한채원
K00060,C00477,U0160,2026-01-04,14119,2049,11700,완료,이소율
K00061,C00394,U0078,2024/04/11,22474,3051,18360,완료,권태윤
K00062,C00440,U0180,2024-07-24,39305,7362,31335,완료,한채원
K00063,C00066,U0090,2025-04-09,15653,2039,13329,해지,이소율
K00064,C00523,U0109,2025/11/13,14734,1878,12259,Completed,황주원
K00065,C00545,U0203,2026-02-26,26751,3375,,complete,한채원
K00066,C00351,U0031,20260620,19144,3674,14166,해지,신지호
