unit_id,building,floor,unit_no,type,area_m2,price_10k_krw,status,direction,view
U0001,101,1,01,59B,60,150605,미계약,남동향,도로뷰
U0002,101,1,02,59A,59,182693,계약완료,남향,평범
U0003,101,1,03,102A,102,311924,계약완료,북향,공원뷰
U0004,101,1,04,84B,85,235694,미계약,남동향,평범
U0005,101,2,01,59A,59,136965,계약완료,남향,공원뷰
U0006,101,2,02,59A,59,134818,미계약,동향,한강뷰
U0007,101,2,03,84B,85,204138,계약완료,남동향,평범
U0008,101,2,04,84A,84,251250,계약완료,남서향,도로뷰
U0009,101,3,01,84A,84,219364,미계약,서향,도로뷰
U0010,101,3,02,102A,102,282990,계약완료,남동향,단지내뷰
U0011,101,3,03,84A,84,238617,계약완료,서향,한강뷰
U0012,101,3,04,59B,60,154840,보류,동향,한강뷰
U0013,101,4,01,102A,102,323694,계약완료,동향,도로뷰
U0014,101,4,02,59A,59,151673,미계약,남향,단지내뷰
U0015,101,4,03,74A,74,235468,계약완료,동향,평범
U0016,101,4,04,59A,59,133799,미계약,서향,공원뷰
U0017,101,5,01,84B,85,273735,미계약,남향,한강뷰
U0018,101,5,02,74A,74,213991,미계약,서향,단지내뷰
U0019,101,5,03,74A,74,236042,계약완료,남향,도로뷰
U0020,101,5,04,74A,74,213963,미계약,남동향,평범
U0021,101,6,01,59A,59,163676,미계약,남서향,한강뷰
U0022,101,6,02,59B,60,181802,미계약,동향,도로뷰
U0023,101,6,03,84A,84,189592,미계약,남서향,평범
U0024,101,6,04,74A,74,192893,계약완료,북향,한강뷰
U0025,101,7,01,74A,74,245650,예약,남동향,공원뷰
U0026,101,7,02,74A,74,215492,계약완료,북향,도로뷰
U0027,101,7,03,74A,74,190328,미계약,남서향,도로뷰
U0028,101,7,04,114A,114,279689,미계약,남동향,도로뷰
U0029,101,8,01,74A,74,177984,미계약,남서향,공원뷰
U0030,101,8,02,84A,84,211230,예약,남동향,단지내뷰
U0031,101,8,03,102A,102,258109,미계약,남향,도로뷰
U0032,101,8,04,59A,59,183278,계약완료,남동향,한강뷰
U0033,101,9,01,59A,59,188552,계약완료,서향,한강뷰
U0034,101,9,02,59A,59,159190,계약완료,서향,단지내뷰
U0035,101,9,03,102A,102,340631,예약,남서향,도로뷰
U0036,101,9,04,59B,60,156389,미계약,남향,도로뷰
U0037,101,10,01,59B,60,136338,예약,동향,평범
U0038,101,10,02,84A,84,252329,보류,서향,단지내뷰
U0039,101,10,03,74A,74,189805,계약완료,서향,단지내뷰
U0040,101,10,04,59B,60,156004,계약완료,남동향,공원뷰
U0041,101,11,01,74A,74,207826,계약완료,남서향,평범
U0042,101,11,02,84B,85,218914,미계약,북향,한강뷰
U0043,101,11,03,59B,60,196990,미계약,남동향,도로뷰
U0044,101,11,04,84A,84,245951,미계약,북향,평범
U0045,101,12,01,59A,59,195904,예약,북향,한강뷰
U0046,101,12,02,114A,114,284537,예약,동향,단지내뷰
U0047,101,12,03,84B,85,250961,미계약,남동향,도로뷰
U0048,101,12,04,59A,59,176251,계약완료,남향,평범
U0049,101,13,01,114A,114,372025,보류,남향,한강뷰
U0050,101,13,02,74A,74,178871,미계약,서향,단지내뷰
U0051,101,13,03,84A,84,240501,계약완료,남동향,단지내뷰
U0052,101,13,04,102A,102,236789,계약완료,동향,단지내뷰
U0053,101,14,01,102A,102,326886,계약완료,남서향,공원뷰
U0054,101,14,02,74A,74,211309,예약,남향,평범
U0055,101,14,03,84B,85,220904,계약완료,동향,단지내뷰
U0056,101,14,04,59A,59,191472,계약완료,남향,평범
U0057,101,15,01,59A,59,191182,계약완료,남향,도로뷰
U0058,101,15,02,84A,84,267213,보류,남동향,도로뷰
U0059,101,15,03,114A,114,354481,미계약,북향,공원뷰
U0060,101,15,04,102A,102,228144,계약완료,남서향,공원뷰
U0061,101,16,01,59B,60,196185,미계약,북향,평범
U0062,101,16,02,74A,74,207842,계약완료,남동향,평범
U0063,101,16,03,74A,74,204564,계약완료,남향,평범
U0064,101,16,04,84A,84,256986,계약완료,북향,한강뷰
U0065,101,17,01,84B,85,253290,미계약,남향,단지내뷰
U0066,101,17,02,84A,84,192060,예약,북향,평범
U0067,101,17,03,74A,74,163280,계약완료,남동향,공원뷰
U0068,101,17,04,74A,74,242449,미계약,동향,공원뷰
U0069,101,18,01,74A,74,248011,미계약,동향,도로뷰
U0070,101,18,02,114A,114,321593,계약완료,남서향,평범
U0071,101,18,03,84A,84,266925,미계약,남동향,단지내뷰
U0072,101,18,04,114A,114,373025,계약완료,서향,단지내뷰
U0073,101,19,01,84B,85,248414,미계약,북향,한강뷰
U0074,101,19,02,59A,59,132491,계약완료,남서향,한강뷰
U0075,101,19,03,84A,84,266525,미계약,남서향,공원뷰
U0076,101,19,04,59A,59,152286,보류,북향,한강뷰
U0077,101,20,01,59A,59,158976,계약완료,남서향,한강뷰
U0078,101,20,02,84A,84,250128,미계약,남향,공원뷰
U0079,101,20,03,74A,74,180441,계약완료,동향,단지내뷰
U0080,101,20,04,84B,85,221066,계약완료,북향,도로뷰
U0081,101,21,01,59B,60,155883,계약완료,남동향,공원뷰
U0082,101,21,02,59A,59,198727,미계약,남서향,한강뷰
U0083,101,21,03,59B,60,135155,보류,서향,평범
U0084,101,21,04,84B,85,280909,계약완료,남서향,단지내뷰
U0085,101,22,01,84A,84,216825,미계약,북향,단지내뷰
U0086,101,22,02,74A,74,217853,보류,동향,한강뷰
U0087,101,22,03,84A,84,259361,계약완료,남향,단지내뷰
U0088,101,22,04,59A,59,145758,계약완료,남향,평범
U0089,102,1,01,59B,60,139263,미계약,남향,공원뷰
U0090,102,1,02,114A,114,317931,계약완료,서향,한강뷰
U0091,102,1,03,114A,114,287301,계약완료,남동향,공원뷰
U0092,102,1,04,114A,114,372643,미계약,북향,단지내뷰
U0093,102,2,01,59A,59,197119,보류,남동향,평범
U0094,102,2,02,74A,74,165946,계약완료,서향,공원뷰
U0095,102,2,03,74A,74,170824,계약완료,남서향,도로뷰
U0096,102,2,04,114A,114,264743,미계약,남동향,단지내뷰
U0097,102,3,01,102A,102,231660,예약,북향,단지내뷰
U0098,102,3,02,102A,102,241988,미계약,동향,도로뷰
U0099,102,3,03,102A,102,231996,계약완료,남동향,공원뷰
U0100,102,3,04,102A,102,297801,미계약,동향,한강뷰
U0101,102,4,01,59A,59,132230,미계약,북향,한강뷰
U0102,102,4,02,84B,85,269608,계약완료,북향,공원뷰
U0103,102,4,03,84A,84,258966,계약완료,북향,한강뷰
U0104,102,4,04,84B,85,250945,계약완료,북향,한강뷰
U0105,102,5,01,59B,60,159376,미계약,동향,평범
U0106,102,5,02,102A,102,337222,계약완료,남향,공원뷰
U0107,102,5,03,114A,114,262837,계약완료,북향,공원뷰
U0108,102,5,04,74A,74,169172,계약완료,남서향,공원뷰
U0109,102,6,01,74A,74,183392,계약완료,남서향,한강뷰
U0110,102,6,02,102A,102,239226,계약완료,남동향,공원뷰
U0111,102,6,03,84A,84,245606,계약완료,서향,도로뷰
U0112,102,6,04,114A,114,379204,보류,동향,단지내뷰
U0113,102,7,01,74A,74,212480,미계약,남향,한강뷰
U0114,102,7,02,74A,74,226423,예약,북향,도로뷰
U0115,102,7,03,59A,59,153405,보류,남동향,공원뷰
U0116,102,7,04,74A,74,245931,계약완료,남서향,공원뷰
U0117,102,8,01,59A,59,159539,계약완료,북향,한강뷰
U0118,102,8,02,59A,59,188677,계약완료,남동향,평범
U0119,102,8,03,74A,74,174346,계약완료,남동향,평범
U0120,102,8,04,84A,84,188059,계약완료,남향,공원뷰
U0121,102,9,01,59B,60,177815,미계약,남동향,한강뷰
U0122,102,9,02,102A,102,286676,미계약,서향,한강뷰
U0123,102,9,03,84B,85,245055,보류,남동향,공원뷰
U0124,102,9,04,114A,114,257080,미계약,남동향,평범
U0125,102,10,01,114A,114,352036,예약,남향,한강뷰
U0126,102,10,02,84B,85,255944,예약,서향,단지내뷰
U0127,102,10,03,84A,84,258557,미계약,남동향,도로뷰
U0128,102,10,04,59B,60,179214,미계약,동향,공원뷰
U0129,102,11,01,59A,59,164961,예약,남향,공원뷰
U0130,102,11,02,114A,114,377165,계약완료,북향,한강뷰
U0131,102,11,03,84B,85,234666,계약완료,서향,단지내뷰
U0132,102,11,04,59A,59,144543,미계약,서향,도로뷰
U0133,102,12,01,114A,114,292841,미계약,북향,한강뷰
U0134,102,12,02,84A,84,191069,미계약,남동향,공원뷰
U0135,102,12,03,84A,84,195669,예약,서향,단지내뷰
U0136,102,12,04,84B,85,240417,계약완료,서향,도로뷰
U0137,102,13,01,74A,74,236783,계약완료,동향,공원뷰
U0138,102,13,02,114A,114,261767,계약완료,남향,공원뷰
